Core,Date,Time,Run,Headspace,Valve
BC2-13,7/21/18,8.10-9.16,1,16.5,8
BC3-2,7/21/18,8.10-9.16,1,16.5,9
BC3-5,7/21/18,8.10-9.16,1,17.5,10
BC4-9,7/21/18,8.10-9.16,1,16.5,11
BC3-3,7/21/18,8.10-9.16,1,15,12
BC3-7,7/21/18,8.10-9.16,1,16.5,13
BC3-14,7/21/18,8.10-9.16,1,16,14
BC4-12,7/21/18,8.10-9.16,1,17,15
BC12-14,7/21/18,9.27-10.42,2,13,1
BC12-13,7/21/18,9.27-10.42,2,17,3
BC12-4,7/21/18,9.27-10.42,2,17,4
BC13-12,7/21/18,9.27-10.42,2,14.5,5
BC13-14,7/21/18,9.27-10.42,2,15,6
BC13-11,7/21/18,9.27-10.42,2,15,7
BC4-8,7/21/18,9.27-10.42,2,15,8
BC13-13,7/21/18,9.27-10.42,2,15,9
BC14-6,7/21/18,9.27-10.42,2,16,10
BC14-13,7/21/18,9.27-10.42,2,15,11
BC13-15,7/21/18,9.27-10.42,2,15,12
BC14-11,7/21/18,9.27-10.42,2,15,13
BC12-1,7/21/18,9.27-10.42,2,15,14
BC14-12,7/21/18,9.27-10.42,2,16,15
BC12-3,7/21/18,10.56-12.02,3,15,1
BC15-14,7/21/18,10.56-12.02,3,16,3
BC15-8,7/21/18,10.56-12.02,3,19,4
BC14-9,7/21/18,10.56-12.02,3,17,5
BC15-15,7/21/18,10.56-12.02,3,16,6
BC15-12,7/21/18,10.56-12.02,3,16,7
BC15-7,7/21/18,10.56-12.02,3,22,8
BC15-13,7/21/18,10.56-12.02,3,17,9
BC15-1,7/21/18,10.56-12.02,3,15,10
BC15-10,7/21/18,10.56-12.02,3,17,11
BC15-6,7/21/18,10.56-12.02,3,17,12
BC15-4,7/21/18,10.56-12.02,3,16,13
BC15-3,7/21/18,10.56-12.02,3,18,14
BC15-9,7/21/18,10.56-12.02,3,19,15
BC13-3,7/21/18,12.12-1.25,4,17,1
BC13-4,7/21/18,12.12-1.25,4,17.5,3
BC2-2,7/21/18,12.12-1.25,4,16.5,4
BC13-15,7/21/18,12.12-1.25,4,15,5
BC13-15,7/21/18,12.12-1.25,4,15,6
BC13-6,7/21/18,12.12-1.25,4,16.5,7
BC13-8,7/21/18,12.12-1.25,4,18,8
BC13-9,7/21/18,12.12-1.25,4,19,9
BC13-2,7/21/18,12.12-1.25,4,16,10
BC15-2,7/21/18,12.12-1.25,4,15,11
BC15-11,7/21/18,12.12-1.25,4,20,12
BC13-7,7/21/18,12.12-1.25,4,15,13
BC13-10,7/21/18,12.12-1.25,4,18,14
BC15-5,7/21/18,12.12-1.25,4,15,15
BC2-6,7/21/18,1.32-2.39,5,15,1
BC2-3,7/21/18,1.32-2.39,5,16,3
BC12-11,7/21/18,1.32-2.39,5,15,4
BC2-12,7/21/18,1.32-2.39,5,17,5
BC2-4,7/21/18,1.32-2.39,5,17,6
BC2-12,7/21/18,1.32-2.39,5,17,7
BC2-14,7/21/18,1.32-2.39,5,17.5,8
BC3-8,7/21/18,1.32-2.39,5,17,9
BC3-1,7/21/18,1.32-2.39,5,18,10
BC2-9,7/21/18,1.32-2.39,5,16,11
BC3-15,7/21/18,1.32-2.39,5,16.5,12
BC2-8,7/21/18,1.32-2.39,5,17,13
BC3-9,7/21/18,1.32-2.39,5,16.5,14
BC3-4,7/21/18,1.32-2.39,5,16.5,15
BC4-7,7/21/18,2.51-3.56,6,15,1
BC4-2,7/21/18,2.51-3.56,6,17.5,3
BC4-4,7/21/18,2.51-3.56,6,17,4
BC4-6,7/21/18,2.51-3.56,6,15,5
BC4-13,7/21/18,2.51-3.56,6,15.5,6
BC4-14,7/21/18,2.51-3.56,6,15,7
BC4-1,7/21/18,2.51-3.56,6,16,8
BC3-13,7/21/18,2.51-3.56,6,16.5,9
BC3-6,7/21/18,2.51-3.56,6,15,10
BC4-5,7/21/18,2.51-3.56,6,15,11
BC4-10,7/21/18,2.51-3.56,6,15,12
BC3-11,7/21/18,2.51-3.56,6,17,13
BC3-12,7/21/18,2.51-3.56,6,15,14
BC3-10,7/21/18,2.51-3.56,6,17,15
BC14-7,7/21/18,4.00-5.13,7,15,1
BC12-6,7/21/18,4.00-5.13,7,17,3
BC14-2,7/21/18,4.00-5.13,7,17,4
BC14-4,7/21/18,4.00-5.13,7,16,5
BC12-15,7/21/18,4.00-5.13,7,15,6
BC12-11,7/21/18,4.00-5.13,7,15,7
BC4-11,7/21/18,4.00-5.13,7,15,8
BC12-12,7/21/18,4.00-5.13,7,15,9
BC12-2,7/21/18,4.00-5.13,7,15.5,10
BC12-5,7/21/18,4.00-5.13,7,17,11
BC12-9,7/21/18,4.00-5.13,7,17,12
BC12-8,7/21/18,4.00-5.13,7,16.5,13
BC12-10,7/21/18,4.00-5.13,7,17,14
BC12-7,7/21/18,4.00-5.13,7,15,15
BC14-8,7/21/18,5.20-5.58,8,15,1
BC14-1,7/21/18,5.20-5.58,8,15,3
BC14-15,7/21/18,5.20-5.58,8,15,4
BC14-10,7/21/18,5.20-5.58,8,15,5
BC14-3,7/21/18,5.20-5.58,8,15,6
BC14-5,7/21/18,5.20-5.58,8,15,7
BC14-14,7/21/18,5.20-5.58,8,14,8
BC2-6,7/24/18,8.40-9.46,1,15,1
BC2-9,7/24/18,8.40-9.46,1,16,3
BC2-4,7/24/18,8.40-9.46,1,17,4
BC13-9,7/24/18,8.40-9.46,1,19,5
BC13-10,7/24/18,8.40-9.46,1,18,6
BC2-2,7/24/18,8.40-9.46,1,16.5,7
BC13-3,7/24/18,8.40-9.46,1,17,8
BC13-4,7/24/18,8.40-9.46,1,17.5,9
BC13-6,7/24/18,8.40-9.46,1,16.5,10
BC13-8,7/24/18,8.40-9.46,1,18,11
BC13-1,7/24/18,8.40-9.46,1,17,12
BC13-7,7/24/18,8.40-9.46,1,15,13
BC13-15,7/24/18,8.40-9.46,1,15,14
BC13-2,7/24/18,8.40-9.46,1,16,15
BC2-6,7/24/18,10.00-11.05,2,15,1
BC2-9,7/24/18,10.00-11.05,2,15,3
BC2-4,7/24/18,10.00-11.05,2,17,4
BC13-9,7/24/18,10.00-11.05,2,19,5
BC13-10,7/24/18,10.00-11.05,2,18,6
BC2-2,7/24/18,10.00-11.05,2,16.5,7
